net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,(log(R1/R2)) * (log(M1/M2)),log(R1/R2),log(M1/M2),log(B1/B2),am,ar,interaction,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,12,3,0.1,VI 70,214,0.8,883,VI 70,208,0.8,855,0,0.012350438,0,0.013994589,,,,,0,0,0.000152533,616,,,,
1,12,7,0.1,VI 70,192,0.8,837,VI 70,207,0.8,830,0,-0.032669117,0,0.003647366,,,,,0,0,0.001067271,601,,,,
1,12,8,0.1,VI 70,214,0.8,908,VI 70,189,0.8,860,0,0.053951969,0,0.023587397,,,,,0,0,0.002910815,572,,,,
1,13,2,0.1,VI 70,187,1.052631579,978,VI 70,213,0.64516129,757,-0.012020436,-0.056537997,0.212608093,0.111242975,,,,,0.045202201,-0.012020436,0.003196545,615,,,,
1,14,0,0.1,VI 70,211,1.6,1292,VI 70,172,0.533333333,638,0.042346424,0.088754008,0.477121255,0.306441835,,,,,0.227644692,0.042346424,0.007877274,586,,,,
1,13,6,0.1,VI 70,184,1.052631579,953,VI 70,197,0.64516129,765,-0.00630349,-0.029648403,0.212608093,0.095431465,,,,,0.045202201,-0.00630349,0.000879028,538,,,,
1,14,4,0.1,VI 70,221,1.6,1348,VI 70,174,0.533333333,603,0.049545715,0.103843025,0.477121255,0.34937258,,,,,0.227644692,0.049545715,0.010783374,513,,,,
1,14,8,0.1,VI 70,227,1.6,1395,VI 70,172,0.533333333,595,0.057491876,0.12049741,0.477121255,0.370057242,,,,,0.227644692,0.057491876,0.014519626,578,,,,
1,15,2,0.1,VI 95,119,0.533333333,453,VI 45,347,1.6,1759,0.221757616,-0.464782513,-0.477121255,-0.589167637,,,,,0.227644692,0.221757616,0.216022785,428,,,,
1,16,4,0.1,VI 95,167,0.64516129,667,VI 45,287,1.052631579,1220,0.049998073,-0.235165426,-0.212608093,-0.262233997,,,,,0.045202201,0.049998073,0.055302777,577,,,,
1,15,6,0.1,VI 95,129,0.533333333,461,VI 45,347,1.6,1738,0.205037976,-0.429739764,-0.477121255,-0.576348847,,,,,0.227644692,0.205037976,0.184676265,450,,,,
1,16,0,0.1,VI 95,140,0.64516129,591,VI 45,280,1.052631579,1278,0.064001413,-0.301029996,-0.212608093,-0.334943373,,,,,0.045202201,0.064001413,0.090619058,524,,,,
1,16,8,0.1,VI 95,146,0.64516129,628,VI 45,283,1.052631579,1225,0.061110705,-0.28743358,-0.212608093,-0.290176445,,,,,0.045202201,0.061110705,0.082618063,608,,,,
1,17,6,0.1,VI 95,160,0.8,772,VI 45,281,0.8,1057,0,-0.244586337,0,-0.136457687,,,,,0,0,0.059822476,575,,,,
1,17,2,0.1,VI 95,147,0.8,684,VI 45,274,0.8,1039,0,-0.270433228,0,-0.181559446,,,,,0,0,0.073134131,577,,,,
1,18,0,0.1,VI 95,161,1.052631579,898,VI 45,282,0.64516129,944,-0.051753749,-0.243423232,0.212608093,-0.021695658,,,,,0.045202201,-0.051753749,0.05925487,588,,,,
1,18,4,0.1,VI 95,169,1.052631579,850,VI 45,273,0.64516129,850,-0.044281151,-0.208275942,0.212608093,0,,,,,0.045202201,-0.044281151,0.043378868,574,,,,
1,18,8,0.1,VI 95,167,1.052631579,801,VI 45,303,0.64516129,933,-0.055007275,-0.258726157,0.212608093,-0.066249128,,,,,0.045202201,-0.055007275,0.066939224,594,,,,
1,12,9,0.1,VI 70,204,0.8,867,VI 70,198,0.8,874,0,0.012964977,0,-0.003492335,,,,,0,0,0.000168091,549,,,,
1,13,3,0.1,VI 70,212,1.052631579,1046,VI 70,187,0.64516129,718,0.011585919,0.054494254,0.212608093,0.16340724,,,,,0.045202201,0.011585919,0.002969624,605,,,,
