net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,53.2332999,,
0,19,6,0.1,VI 95,157,1.6,1069,VI 45,272,0.533333333,887,-0.238669252,0.477121255,0.081054085,608,,,,
0,19,5,0.1,VI 95,161,1.6,1033,VI 45,307,0.533333333,985,-0.280312499,0.477121255,0.020664091,639,,,,
0,19,7,0.1,VI 95,169,1.6,1097,VI 45,267,0.533333333,897,-0.198624557,0.477121255,0.087414185,614,,,,
0,19,8,0.1,VI 95,169,1.6,1102,VI 45,271,0.533333333,893,-0.205082586,0.477121255,0.091330136,625,,,,
0,19,9,0.1,VI 95,143,1.6,981,VI 45,322,0.533333333,952,-0.352519834,0.477121255,0.013032059,603,,,,
0,20,0,0.1,VI 120,93,0.533333333,365,VI 20,720,1.6,3155,-0.888849548,-0.477121255,-0.936706499,508,,,,
0,20,1,0.1,VI 120,106,0.533333333,382,VI 20,733,1.6,3103,-0.839798109,-0.477121255,-0.909718413,494,,,,
0,20,2,0.1,VI 120,103,0.533333333,366,VI 20,722,1.6,2991,-0.845699973,-0.477121255,-0.912335328,470,,,,
0,20,3,0.1,VI 120,110,0.533333333,412,VI 20,718,1.6,2954,-0.814731759,-0.477121255,-0.855513275,488,,,,
0,20,4,0.1,VI 120,109,0.533333333,390,VI 20,707,1.6,3067,-0.811992916,-0.477121255,-0.895649169,476,,,,
0,20,5,0.1,VI 120,117,0.533333333,396,VI 20,740,1.6,3118,-0.801045858,-0.477121255,-0.896180925,500,,,,
0,20,6,0.1,VI 120,109,0.533333333,439,VI 20,724,1.6,3107,-0.822312068,-0.477121255,-0.849876733,515,,,,
0,20,7,0.1,VI 120,113,0.533333333,384,VI 20,716,1.6,3082,-0.801834579,-0.477121255,-0.90450141,467,,,,
0,20,8,0.1,VI 120,107,0.533333333,390,VI 20,699,1.6,2991,-0.815093398,-0.477121255,-0.884751806,454,,,,
0,20,9,0.1,VI 120,111,0.533333333,391,VI 20,687,1.6,2974,-0.791633758,-0.477121255,-0.881164207,469,,,,
0,21,0,0.1,VI 120,116,0.64516129,467,VI 20,665,1.052631579,2216,-0.758363656,-0.212608093,-0.676252875,540,,,,
