net_type,run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
1,19,0,VI 95,183,1160,1.6,VI 45,269,743,0.533333333,-0.16730119,0.477121255,0.193469175,576,,,,
1,19,1,VI 95,166,1119,1.6,VI 45,240,731,0.533333333,-0.160103154,0.477121255,0.18491271,591,,,,
1,19,2,VI 95,172,1050,1.6,VI 45,287,800,0.533333333,-0.22235345,0.477121255,0.118099312,566,,,,
1,19,3,VI 95,180,1110,1.6,VI 45,258,718,0.533333333,-0.156347201,0.477121255,0.189198535,542,,,,
1,19,4,VI 95,172,1068,1.6,VI 45,288,863,0.533333333,-0.223864041,0.477121255,0.092560457,623,,,,
1,19,5,VI 95,166,1064,1.6,VI 45,241,750,0.533333333,-0.161908955,0.477121255,0.151880365,572,,,,
1,19,6,VI 95,166,1153,1.6,VI 45,242,802,0.533333333,-0.163707278,0.477121255,0.157654939,599,,,,
1,19,7,VI 95,171,1053,1.6,VI 45,274,780,0.533333333,-0.204754452,0.477121255,0.130333768,551,,,,
1,19,8,VI 95,156,1064,1.6,VI 45,265,864,0.533333333,-0.230121276,0.477121255,0.090427885,579,,,,
1,19,9,VI 95,180,1154,1.6,VI 45,258,749,0.533333333,-0.156347201,0.477121255,0.187723991,563,,,,
1,20,0,VI 120,87,254,0.533333333,VI 20,671,2965,1.6,-0.887203268,-0.477121255,-1.067190981,310,,,,
1,20,2,VI 120,87,246,0.533333333,VI 20,698,3003,1.6,-0.90433617,-0.477121255,-1.086620225,308,,,,
1,20,1,VI 120,86,277,0.533333333,VI 20,675,2903,1.6,-0.894805322,-0.477121255,-1.020367267,301,,,,
1,20,3,VI 120,78,249,0.533333333,VI 20,662,2872,1.6,-0.928763387,-0.477121255,-1.061985088,312,,,,
1,20,4,VI 120,86,224,0.533333333,VI 20,723,3129,1.6,-0.924639846,-0.477121255,-1.145157545,283,,,,
1,20,5,VI 120,89,235,0.533333333,VI 20,701,3223,1.6,-0.896328011,-0.477121255,-1.137192443,303,,,,
1,20,6,VI 120,85,255,0.533333333,VI 20,676,2935,1.6,-0.90052777,-0.477121255,-1.061067925,306,,,,
1,20,7,VI 120,91,274,0.533333333,VI 20,673,2952,1.6,-0.868973672,-0.477121255,-1.03236579,356,,,,
1,20,8,VI 120,85,255,0.533333333,VI 20,673,2837,1.6,-0.898596139,-0.477121255,-1.046319155,275,,,,
1,20,9,VI 120,82,235,0.533333333,VI 20,708,3002,1.6,-0.936219405,-0.477121255,-1.106342826,292,,,,
1,21,0,VI 120,93,289,0.64516129,VI 20,625,2077,1.052631579,-0.827397069,-0.212608093,-0.856538654,352,,,,
1,21,2,VI 120,97,356,0.64516129,VI 20,618,2067,1.052631579,-0.804216741,-0.212608093,-0.763890479,409,,,,
1,21,1,VI 120,105,332,0.64516129,VI 20,625,2083,1.052631579,-0.774690718,-0.212608093,-0.797551186,418,,,,
1,21,3,VI 120,107,398,0.64516129,VI 20,624,2113,1.052631579,-0.765800812,-0.212608093,-0.725016425,400,,,,
1,21,4,VI 120,105,381,0.64516129,VI 20,619,2139,1.052631579,-0.77050135,-0.212608093,-0.749285809,402,,,,
1,21,5,VI 120,99,389,0.64516129,VI 20,593,1984,1.052631579,-0.777419499,-0.212608093,-0.707592066,393,,,,
1,21,6,VI 120,83,326,0.64516129,VI 20,618,2106,1.052631579,-0.871910383,-0.212608093,-0.810240767,390,,,,
1,21,7,VI 120,113,417,0.64516129,VI 20,587,1909,1.052631579,-0.715559658,-0.212608093,-0.660669873,468,,,,
1,21,9,VI 120,103,376,0.64516129,VI 20,602,1990,1.052631579,-0.766759267,-0.212608093,-0.723665231,424,,,,
1,21,8,VI 120,101,379,0.64516129,VI 20,627,2114,1.052631579,-0.792946167,-0.212608093,-0.746465773,407,,,,
1,22,0,VI 120,105,504,0.8,VI 20,553,1622,0.8,-0.721535832,0,-0.507620313,457,,,,
1,22,2,VI 120,123,476,0.8,VI 20,603,1725,0.8,-0.690412201,0,-0.559182147,497,,,,
1,22,1,VI 120,106,456,0.8,VI 20,571,1606,0.8,-0.731330243,0,-0.546780698,486,,,,
1,22,3,VI 120,107,458,0.8,VI 20,599,1713,0.8,-0.748043045,0,-0.572891885,476,,,,
1,22,4,VI 120,124,513,0.8,VI 20,558,1636,0.8,-0.653212514,0,-0.503665934,479,,,,
1,22,5,VI 120,88,448,0.8,VI 20,587,1636,0.8,-0.824155429,0,-0.562505285,518,,,,
