net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,log R sq,log M sq,log RM,,,,
2,12,5,0.1,VI 70,209,0.8,840,VI 70,206,0.8,835,0.006279066,0,0.002592811,697,3.94267E-05,0,0,,,,
2,12,7,0.1,VI 70,212,0.8,832,VI 70,183,0.8,824,0.063884771,0,0.004196115,685,0.004081264,0,0,,,,
2,12,8,0.1,VI 70,217,0.8,852,VI 70,213,0.8,814,0.00808013,0,0.01981519,649,6.52885E-05,0,0,,,,
2,12,9,0.1,VI 70,207,0.8,899,VI 70,192,0.8,836,0.032669117,0,0.031553414,713,0.001067271,0,0,,,,
2,12,6,0.1,VI 70,222,0.8,880,VI 70,203,0.8,858,0.038856937,0,0.010995384,728,0.001509862,0,0,,,,
2,13,0,0.1,VI 70,224,1.052631579,1000,VI 70,187,0.64516129,701,0.078406412,0.212608093,0.154281982,675,0.006147565,0.045202201,0.016669838,,,,
2,13,1,0.1,VI 70,218,1.052631579,1027,VI 70,179,0.64516129,693,0.085603463,0.212608093,0.170837209,653,0.007327953,0.045202201,0.018199989,,,,
2,13,2,0.1,VI 70,193,1.052631579,934,VI 70,205,0.64516129,761,-0.026196552,0.212608093,0.088962219,673,0.000686259,0.045202201,-0.005569599,,,,
2,13,4,0.1,VI 70,215,1.052631579,972,VI 70,189,0.64516129,758,0.055976656,0.212608093,0.107997059,644,0.003133386,0.045202201,0.01190109,,,,
2,13,5,0.1,VI 70,216,1.052631579,1042,VI 70,197,0.64516129,758,0.039987525,0.212608093,0.138198513,655,0.001599002,0.045202201,0.008501671,,,,
2,13,6,0.1,VI 70,193,1.052631579,902,VI 70,217,0.64516129,791,-0.050902425,0.212608093,0.057030054,672,0.002591057,0.045202201,-0.010822267,,,,
2,13,3,0.1,VI 70,220,1.052631579,972,VI 70,206,0.64516129,714,0.02855546,0.212608093,0.133968053,650,0.000815414,0.045202201,0.006071122,,,,
